Name,Proper Name,MasTrack Name,Branch,Hospital System,Hospital System Proper,Address,Latitude,Longitude,Item Type,Path
DANBURY HOSP-1,Danbury Hospital 1,Danbury Hospital 1,ANC East Hartford (F01),DANBURY HOSP,Danbury Hospital,"30 Germantown, Rd Danbury Ct, RD 06810",42.1248082,-73.4366853,Item,sites/AnalyticsTeam/Lists/CT Destinations
DANBURY HOSP-2,Danbury Hospital 2,Danbury Hospital,ANC East Hartford (F01),DANBURY HOSP,Danbury Hospital,"24 Hospital Ave, Danbury, CT 06810",42.1248082,-73.4458501,Item,sites/AnalyticsTeam/Lists/CT Destinations
DANBURY SURGICAL CTR AN AFFIL OF SCA,Danbury Surgical Center An Affil Of Sca,Danbury Surgical Center An Affil Of Sca,ANC East Hartford (F01),DANBURY SURGICAL CTR AN AFFIL OF SCA,Danbury Surgical Center An Affil Of Sca,"73 Sand Pit Rd, STE 101, Danbury, CT 06810",42.1248082,-73.4315568,Item,sites/AnalyticsTeam/Lists/CT Destinations
DAY KIMBALL HOSP - WRIGHT/TORNIER,Day Kimball Hospital,Day Kimball Hospital,Hartford Hub,DAY KIMBALL HOSP,Day Kimball Hospital,"320 Pomfret St, Putnam, CT 06260",42.1248082,-71.9137355,Item,sites/AnalyticsTeam/Lists/CT Destinations
DOBBS FERRY PAVILION OF ST JOHNS RIVSDE - WRIGHT/TORNIER,Dobbs Ferry Pavilion Of St Johns Rivsde,Dobbs Ferry Pavilion Of St Johns Rivsde,Hartford Hub,DOBBS FERRY PAV OF ST JOHNS RIVSDE,Dobbs Ferry Pav Of St Johns Rivsde,"128 Ashford Ave, Dobbs Ferry, NY 10522",42.1248082,-73.8622825,Item,sites/AnalyticsTeam/Lists/CT Destinations
ELLIS HOSP NISKAYUNA CAMPUS - WRIGHT/TORNIER ,Ellis Hospital Niskayuna Campus ,Ellis Hospital Niskayuna Campus,Hartford Hub,NEW HOSPITAL,New Hospital,"2210 Troy Schenectady Rd, Niskayuna, NY 12309",42.1248082,-73.8789816,Item,sites/AnalyticsTeam/Lists/CT Destinations
ELLIS HOSPITAL - WRIGHT/TORNIER,Ellis Hospital,Ellis Hospital,Hartford Hub,ELLIS HOSP,Ellis Hospital,"1101 Nott St, Schenectady, NY 12308",42.1248082,-73.9165154,Item,sites/AnalyticsTeam/Lists/CT Destinations
ERIE COUNTY MEDICAL ASC SURGERY CENTER-WRIGHT/TORNIER HHAR,Erie County Medical Center,Erie County Medical Center,Hartford Hub,ERIE COUNTY MED CTR,Erie County Med Center,"462 Grider St, Buffalo, NY 14215",42.1248082,-78.8325296,Item,sites/AnalyticsTeam/Lists/CT Destinations
ERIE CTY MED CTR - WRIGHT/TORNIER - HHAR,Erie County Medical Center,Erie County Medical Center,Hartford Hub,NEW HOSPITAL,New Hospital,"462 Grider St, Buffalo, NY 14215",42.1248082,-78.8325296,Item,sites/AnalyticsTeam/Lists/CT Destinations
EXEC WOODS AMB SURG CTR - WRIGHT/TORNIER,Exec Woods Amb Surg Center,Exec Woods Amb Surg Center,Hartford Hub,EXEC WOODS AMB SURG CTR,Exec Woods Amb Surg Center,"3 Atrium Dr, STE 150, Albany, NY 12205",42.1248082,-73.7755915,Item,sites/AnalyticsTeam/Lists/CT Destinations
FAIRFIELD SURG CTR - WRIGHT/TORNIER,Fairfield Surg Center,Fairfield Surg Center,Hartford Hub,FAIRFIELD SURG CTR,Fairfield Surg Center,"303 Black Rock Tpke, Fairfield, CT 06825",42.1248082,-73.2339339,Item,sites/AnalyticsTeam/Lists/CT Destinations
FAIRFIELD SURG CTR ANC,Fairfield Surg Center,Fairfield Surg Center,ANC East Hartford (F01),FAIRFIELD SURG CTR,Fairfield Surg Center,"303 Black Rock Tpke, Fairfield, CT 06825",42.1248082,-73.2339339,Item,sites/AnalyticsTeam/Lists/CT Destinations
FAIRFIELD SURG CTR-1,Fairfield Surg Center-1,Fairfield Surg Center-1,ANC East Hartford (F01),FAIRFIELD SURG CTR,Fairfield Surg Center,"2909 Main St, Stratford, CT 06614",42.1248082,-73.13187,Item,sites/AnalyticsTeam/Lists/CT Destinations
FAIRFIELD SURG CTR-215276,Fairfield Surg Center-215276,Fairfield Surg Center-215276,ANC East Hartford (F01),FAIRFIELD SURG CTR,Fairfield Surg Center,"305 Black Rock Tpke, Fairfield, CT 06825",42.1248082,-73.2340734,Item,sites/AnalyticsTeam/Lists/CT Destinations
FAIRVIEW HOSP,Fairview Hospital,Fairview Hospital,ANC East Hartford (F01),FAIRVIEW HOSP,Fairview Hospital,"29 Lewis Ave, Great Barrington, MA 01230",42.1248082,-73.3718828,Item,sites/AnalyticsTeam/Lists/CT Destinations
FARMINGTON SURG CTR,Farmington Surg Center,Farmington Surg Center,ANC East Hartford (F01),FARMINGTON SURG CTR,Farmington Surg Center,"1 Round Hill Rd, Farmington, CT 06032",42.1248082,-72.8313543,Item,sites/AnalyticsTeam/Lists/CT Destinations
FISHKILL SURG CTR - WRIGHT/TORNIER,Fishkill Surg Center,Fishkill Surg Center,Hartford Hub,FISHKILL SURG CTR,Fishkill Surg Center,"200 Westage Dr, Fishkill, NY 12524",42.1248082,-73.8966632,Item,sites/AnalyticsTeam/Lists/CT Destinations
FRANKLIN MED CTR,Baystate Franklin Mem Hospital,Baystate Franklin Mem Hospital,ANC East Hartford (F01),FRANKLIN MED CTR,Baystate Med Center,"164 High St, Greenfield, MA 01301",42.5962034,-72.5923856,Item,sites/AnalyticsTeam/Lists/CT Destinations
GARNET HEALTH-ORANGE REGIONAL MED CTR - WRIGHT/TORNIER,Garnet Health-Orange Regional Med Center,Garnet Health-Orange Regional Med Center,Hartford Hub,GARNET HEALTH MED CTR,Garnet Health Med Center,"707 E Main St, Middletown, NY 10940",42.1248082,-74.3680944,Item,sites/AnalyticsTeam/Lists/CT Destinations
